input_file,workload_class,pipeline_label,budget_label,max_workers,selected_regime,selected_workers,selected_chunks,selected_policy,predicted_e2e_time,measured_serial_time,predicted_speedup,predicted_efficiency
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,light,inference-normalization,w<=2,2,parallel,2,2,equal-duration,4.290753,6.796279,1.5839,0.792
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,light,inference-normalization,w<=4,4,parallel,4,4,equal-duration,2.740639,6.796279,2.4798,0.62
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,light,inference-normalization,w<=8,8,parallel,8,8,equal-duration,2.061585,6.796279,3.2966,0.4121
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,light,inference-normalization,unconstrained,,parallel,8,8,equal-duration,2.061585,6.796279,3.2966,0.4121
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,medium,vision-enhancement,w<=2,2,parallel,2,2,equal-duration,13.444515,21.926465,1.6309,0.8154
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,medium,vision-enhancement,w<=4,4,parallel,4,4,equal-duration,8.300982,21.926465,2.6414,0.6604
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,medium,vision-enhancement,w<=8,8,parallel,8,8,equal-duration,5.825219,21.926465,3.7641,0.4705
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,medium,vision-enhancement,unconstrained,,parallel,8,8,equal-duration,5.825219,21.926465,3.7641,0.4705
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,heavy,robust-preprocessing,w<=2,2,parallel,2,2,equal-duration,23.865335,39.150961,1.6405,0.8202
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,heavy,robust-preprocessing,w<=4,4,parallel,4,4,rate-adjusted,14.630984,39.150961,2.6759,0.669
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,heavy,robust-preprocessing,w<=8,8,parallel,8,8,rate-adjusted,10.109812,39.150961,3.8726,0.4841
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,heavy,robust-preprocessing,unconstrained,,parallel,8,8,rate-adjusted,10.109812,39.150961,3.8726,0.4841
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,light,inference-normalization,w<=2,2,parallel,2,2,equal-duration,1.082107,1.611427,1.4892,0.7446
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,light,inference-normalization,w<=4,4,parallel,4,4,equal-duration,0.7813,1.611427,2.0625,0.5156
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,light,inference-normalization,w<=8,8,parallel,4,4,equal-duration,0.7813,1.611427,2.0625,0.5156
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,light,inference-normalization,unconstrained,,parallel,4,4,equal-duration,0.7813,1.611427,2.0625,0.5156
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,medium,vision-enhancement,w<=2,2,parallel,2,2,equal-duration,2.653514,4.307835,1.6234,0.8117
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,medium,vision-enhancement,w<=4,4,parallel,4,4,equal-duration,1.74227,4.307835,2.4725,0.6181
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,medium,vision-enhancement,w<=8,8,parallel,4,4,equal-duration,1.74227,4.307835,2.4725,0.6181
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,medium,vision-enhancement,unconstrained,,parallel,4,4,equal-duration,1.74227,4.307835,2.4725,0.6181
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,heavy,robust-preprocessing,w<=2,2,parallel,2,2,equal-duration,4.481914,7.445223,1.6612,0.8306
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,heavy,robust-preprocessing,w<=4,4,parallel,4,4,equal-duration,2.860401,7.445223,2.6029,0.6507
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,heavy,robust-preprocessing,w<=8,8,parallel,4,4,equal-duration,2.8604,7.445223,2.6029,0.6507
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,heavy,robust-preprocessing,unconstrained,,parallel,4,4,equal-duration,2.8604,7.445223,2.6029,0.6507
experiments/benchmark_suite/inputs/real_clipchamp_720p_3s.mp4,light,inference-normalization,w<=2,2,serial,1,1,serial,0.592865,0.592865,1.0,1.0
experiments/benchmark_suite/inputs/real_clipchamp_720p_3s.mp4,light,inference-normalization,w<=4,4,serial,1,1,serial,0.592865,0.592865,1.0,1.0
experiments/benchmark_suite/inputs/real_clipchamp_720p_3s.mp4,light,inference-normalization,w<=8,8,serial,1,1,serial,0.592865,0.592865,1.0,1.0
experiments/benchmark_suite/inputs/real_clipchamp_720p_3s.mp4,light,inference-normalization,unconstrained,,serial,1,1,serial,0.592865,0.592865,1.0,1.0
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,light,inference-normalization,w<=2,2,parallel,2,2,equal-duration,1.698047,2.570319,1.5137,0.7568
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,light,inference-normalization,w<=4,4,parallel,4,4,equal-duration,1.151598,2.570319,2.232,0.558
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,light,inference-normalization,w<=8,8,parallel,4,4,equal-duration,1.151598,2.570319,2.232,0.558
