case,workload,content_class,duration_label,serial_time,static_equal_time,selector_time,selector_speedup
real_clipchamp_1080p_30s::heavy,heavy,static-low-motion,30s,39.1510,13.8229,10.1676,3.85
real_clipchamp_1080p_30s::light,light,static-low-motion,30s,6.7963,2.8159,2.8101,2.42
real_clipchamp_1080p_30s::medium,medium,static-low-motion,30s,21.9265,7.4486,6.0460,3.63
real_clipchamp_720p_12s::heavy,heavy,static-low-motion,12s,7.4452,2.7989,2.8173,2.64
real_clipchamp_720p_12s::light,light,static-low-motion,12s,1.6114,0.8182,0.8194,1.97
real_clipchamp_720p_12s::medium,medium,static-low-motion,12s,4.3078,1.8958,1.8090,2.38
real_clipchamp_720p_3s::light,light,static-low-motion,3s,0.5929,0.4690,0.5929,1.00
real_phone_1080p_12s::heavy,heavy,scene-cut-heavy,12s,13.1033,5.2030,5.1591,2.54
real_phone_1080p_12s::light,light,scene-cut-heavy,12s,2.5703,1.3652,1.3498,1.90
real_phone_1080p_12s::medium,medium,scene-cut-heavy,12s,7.6803,3.1892,3.1506,2.44
real_test_input_720p_30s::heavy,heavy,medium-to-high-motion,30s,19.0900,6.3508,4.8130,3.97
real_test_input_720p_30s::light,light,medium-to-high-motion,30s,4.1131,1.8463,1.7187,2.39
real_test_input_720p_30s::medium,medium,medium-to-high-motion,30s,11.2474,4.0479,3.1966,3.52
