predicted_time,actual_time,workload,content_class,duration_label
0.7779,0.8175,light,static-low-motion,12s
0.8046,0.8185,light,static-low-motion,12s
0.7613,0.8222,light,static-low-motion,12s
1.7547,2.0053,medium,static-low-motion,12s
1.7498,1.6947,medium,static-low-motion,12s
1.7223,1.7269,medium,static-low-motion,12s
2.8401,2.8522,heavy,static-low-motion,12s
2.8674,2.7867,heavy,static-low-motion,12s
2.8737,2.8128,heavy,static-low-motion,12s
1.3555,1.7355,light,medium-to-high-motion,30s
1.3903,1.7270,light,medium-to-high-motion,30s
1.3681,1.6934,light,medium-to-high-motion,30s
3.0993,3.2132,medium,medium-to-high-motion,30s
3.0979,3.1526,medium,medium-to-high-motion,30s
3.1217,3.2240,medium,medium-to-high-motion,30s
4.9898,4.7515,heavy,medium-to-high-motion,30s
5.0714,4.8576,heavy,medium-to-high-motion,30s
4.9796,4.8299,heavy,medium-to-high-motion,30s
1.1750,1.3412,light,scene-cut-heavy,12s
1.1432,1.3582,light,scene-cut-heavy,12s
1.1366,1.3500,light,scene-cut-heavy,12s
3.0129,3.1421,medium,scene-cut-heavy,12s
3.0437,3.1333,medium,scene-cut-heavy,12s
3.0320,3.1763,medium,scene-cut-heavy,12s
5.0033,5.1939,heavy,scene-cut-heavy,12s
5.0724,5.0627,heavy,scene-cut-heavy,12s
4.9917,5.2207,heavy,scene-cut-heavy,12s
2.0746,2.7048,light,static-low-motion,30s
2.0623,2.8326,light,static-low-motion,30s
2.0479,2.8929,light,static-low-motion,30s
5.8320,6.0667,medium,static-low-motion,30s
5.8290,6.0715,medium,static-low-motion,30s
5.8146,5.9997,medium,static-low-motion,30s
9.9031,9.5438,heavy,static-low-motion,30s
10.1307,10.5458,heavy,static-low-motion,30s
10.2957,10.4130,heavy,static-low-motion,30s
0.6113,0.6113,light,static-low-motion,3s
0.5735,0.5735,light,static-low-motion,3s
0.5939,0.5939,light,static-low-motion,3s
