case,workload,budget,max_workers,selected_workers,predicted_speedup,predicted_efficiency
real_clipchamp_1080p_30s::heavy,heavy,w<=2,2,2,1.641,0.8202
real_clipchamp_1080p_30s::heavy,heavy,w<=4,4,4,2.676,0.6690
real_clipchamp_1080p_30s::heavy,heavy,w<=8,8,8,3.873,0.4841
real_clipchamp_1080p_30s::heavy,heavy,unconstrained,,8,3.873,0.4841
real_clipchamp_1080p_30s::light,light,w<=2,2,2,1.584,0.7920
real_clipchamp_1080p_30s::light,light,w<=4,4,4,2.480,0.6200
real_clipchamp_1080p_30s::light,light,w<=8,8,8,3.297,0.4121
real_clipchamp_1080p_30s::light,light,unconstrained,,8,3.297,0.4121
real_clipchamp_1080p_30s::medium,medium,w<=2,2,2,1.631,0.8154
real_clipchamp_1080p_30s::medium,medium,w<=4,4,4,2.641,0.6604
real_clipchamp_1080p_30s::medium,medium,w<=8,8,8,3.764,0.4705
real_clipchamp_1080p_30s::medium,medium,unconstrained,,8,3.764,0.4705
real_clipchamp_720p_12s::heavy,heavy,w<=2,2,2,1.661,0.8306
real_clipchamp_720p_12s::heavy,heavy,w<=4,4,4,2.603,0.6507
real_clipchamp_720p_12s::heavy,heavy,w<=8,8,4,2.603,0.6507
real_clipchamp_720p_12s::heavy,heavy,unconstrained,,4,2.603,0.6507
real_clipchamp_720p_12s::light,light,w<=2,2,2,1.489,0.7446
real_clipchamp_720p_12s::light,light,w<=4,4,4,2.062,0.5156
real_clipchamp_720p_12s::light,light,w<=8,8,4,2.062,0.5156
real_clipchamp_720p_12s::light,light,unconstrained,,4,2.062,0.5156
real_clipchamp_720p_12s::medium,medium,w<=2,2,2,1.623,0.8117
real_clipchamp_720p_12s::medium,medium,w<=4,4,4,2.473,0.6181
real_clipchamp_720p_12s::medium,medium,w<=8,8,4,2.473,0.6181
real_clipchamp_720p_12s::medium,medium,unconstrained,,4,2.473,0.6181
real_clipchamp_720p_3s::light,light,w<=2,2,1,1.000,1.0000
real_clipchamp_720p_3s::light,light,w<=4,4,1,1.000,1.0000
real_clipchamp_720p_3s::light,light,w<=8,8,1,1.000,1.0000
real_clipchamp_720p_3s::light,light,unconstrained,,1,1.000,1.0000
real_phone_1080p_12s::heavy,heavy,w<=2,2,2,1.624,0.8118
real_phone_1080p_12s::heavy,heavy,w<=4,4,4,2.609,0.6522
real_phone_1080p_12s::heavy,heavy,w<=8,8,4,2.609,0.6522
real_phone_1080p_12s::heavy,heavy,unconstrained,,4,2.609,0.6522
real_phone_1080p_12s::light,light,w<=2,2,2,1.514,0.7568
real_phone_1080p_12s::light,light,w<=4,4,4,2.232,0.5580
real_phone_1080p_12s::light,light,w<=8,8,4,2.232,0.5580
real_phone_1080p_12s::light,light,unconstrained,,4,2.232,0.5580
real_phone_1080p_12s::medium,medium,w<=2,2,2,1.603,0.8018
real_phone_1080p_12s::medium,medium,w<=4,4,4,2.535,0.6338
real_phone_1080p_12s::medium,medium,w<=8,8,4,2.535,0.6338
real_phone_1080p_12s::medium,medium,unconstrained,,4,2.535,0.6338
real_test_input_720p_30s::heavy,heavy,w<=2,2,2,1.689,0.8444
real_test_input_720p_30s::heavy,heavy,w<=4,4,4,2.709,0.6773
real_test_input_720p_30s::heavy,heavy,w<=8,8,8,3.808,0.4760
real_test_input_720p_30s::heavy,heavy,unconstrained,,8,3.808,0.4760
real_test_input_720p_30s::light,light,w<=2,2,2,1.597,0.7983
real_test_input_720p_30s::light,light,w<=4,4,4,2.407,0.6017
real_test_input_720p_30s::light,light,w<=8,8,8,2.999,0.3749
real_test_input_720p_30s::light,light,unconstrained,,8,2.999,0.3749
real_test_input_720p_30s::medium,medium,w<=2,2,2,1.670,0.8352
real_test_input_720p_30s::medium,medium,w<=4,4,4,2.646,0.6614
real_test_input_720p_30s::medium,medium,w<=8,8,8,3.621,0.4526
real_test_input_720p_30s::medium,medium,unconstrained,,8,3.621,0.4526
