case,workload,content_class,selector_regime,selector_label,selected_workers,selected_chunks,good_decision,winner_baseline
2e4d0e39_203678-922748476::heavy,heavy,high-resolution,parallel,equal-duration,8,8,True,adaptive-scheduled
2e4d0e39_203678-922748476::medium,medium,high-resolution,parallel,equal-duration,8,8,True,adaptive-scheduled
2e4d0e39_203678-922748476::light,light,high-resolution,parallel,equal-duration,8,8,True,adaptive-scheduled
4a2a3887_Untitled video - Made with Clipchamp (4) (1) (1)::heavy,heavy,static-low-motion,parallel,equal-duration,16,16,True,adaptive-scheduled
4a2a3887_Untitled video - Made with Clipchamp (4) (1) (1)::medium,medium,static-low-motion,parallel,equal-duration,16,16,True,adaptive-scheduled
4a2a3887_Untitled video - Made with Clipchamp (4) (1) (1)::light,light,static-low-motion,parallel,equal-duration,16,16,True,adaptive-scheduled
real_clipchamp_1080p_30s::heavy,heavy,static-low-motion,parallel,equal-duration,8,8,True,adaptive-scheduled
real_clipchamp_1080p_30s::medium,medium,static-low-motion,parallel,equal-duration,8,8,True,adaptive-scheduled
real_clipchamp_1080p_30s::light,light,static-low-motion,parallel,equal-duration,8,8,True,adaptive-scheduled
real_clipchamp_720p_12s::heavy,heavy,static-low-motion,parallel,equal-duration,4,4,True,static-equal
real_clipchamp_720p_12s::medium,medium,static-low-motion,parallel,equal-duration,4,4,True,adaptive-scheduled
real_clipchamp_720p_12s::light,light,static-low-motion,parallel,equal-duration,4,4,True,static-equal
real_clipchamp_720p_3s::light,light,static-low-motion,serial,serial,1,1,False,static-equal
real_phone_1080p_12s::heavy,heavy,scene-cut-heavy,parallel,equal-duration,4,4,True,adaptive-scheduled
real_phone_1080p_12s::medium,medium,scene-cut-heavy,parallel,equal-duration,4,4,True,adaptive-scheduled
real_phone_1080p_12s::light,light,scene-cut-heavy,parallel,equal-duration,4,4,True,adaptive-scheduled
real_test_input_720p_30s::heavy,heavy,medium-to-high-motion,parallel,equal-duration,8,8,True,adaptive-scheduled
real_test_input_720p_30s::medium,medium,medium-to-high-motion,parallel,equal-duration,8,8,True,adaptive-scheduled
real_test_input_720p_30s::light,light,medium-to-high-motion,parallel,equal-duration,8,8,True,adaptive-scheduled
