case,content_class,serial_time_s,static_equal_time_s,selector_time_s,selector_speedup,vs_static_pct,winner,selector_good
2e4d0e39_203678-922748476::heavy,high-resolution,225.231,62.432,47.595,4.73,+23.8,adaptive-scheduled,True
2e4d0e39_203678-922748476::medium,high-resolution,114.445,38.039,32.495,3.52,+14.6,adaptive-scheduled,True
2e4d0e39_203678-922748476::light,high-resolution,33.742,19.093,14.928,2.26,+21.8,adaptive-scheduled,True
4a2a3887_Untitled video - Made with Clipchamp (4) (1) (1)::heavy,static-low-motion,274.763,80.104,47.298,5.81,+41.0,adaptive-scheduled,True
4a2a3887_Untitled video - Made with Clipchamp (4) (1) (1)::medium,static-low-motion,152.054,64.164,31.063,4.90,+51.6,adaptive-scheduled,True
4a2a3887_Untitled video - Made with Clipchamp (4) (1) (1)::light,static-low-motion,48.764,21.956,15.507,3.14,+29.4,adaptive-scheduled,True
real_clipchamp_1080p_30s::heavy,static-low-motion,39.151,13.823,10.168,3.85,+26.4,adaptive-scheduled,True
real_clipchamp_1080p_30s::medium,static-low-motion,21.926,7.449,6.046,3.63,+18.8,adaptive-scheduled,True
real_clipchamp_1080p_30s::light,static-low-motion,6.796,2.816,2.810,2.42,+0.2,adaptive-scheduled,True
real_clipchamp_720p_12s::heavy,static-low-motion,7.445,2.799,2.817,2.64,-0.7,static-equal,True
real_clipchamp_720p_12s::medium,static-low-motion,4.308,1.896,1.809,2.38,+4.6,adaptive-scheduled,True
real_clipchamp_720p_12s::light,static-low-motion,1.611,0.818,0.819,1.97,-0.2,static-equal,True
real_clipchamp_720p_3s::light,static-low-motion,0.593,0.469,0.593,1.00,-26.4,static-equal,False
real_phone_1080p_12s::heavy,scene-cut-heavy,13.103,5.203,5.159,2.54,+0.8,adaptive-scheduled,True
real_phone_1080p_12s::medium,scene-cut-heavy,7.680,3.189,3.151,2.44,+1.2,adaptive-scheduled,True
real_phone_1080p_12s::light,scene-cut-heavy,2.570,1.365,1.350,1.90,+1.1,adaptive-scheduled,True
real_test_input_720p_30s::heavy,medium-to-high-motion,19.090,6.351,4.813,3.97,+24.2,adaptive-scheduled,True
real_test_input_720p_30s::medium,medium-to-high-motion,11.247,4.048,3.197,3.52,+21.0,adaptive-scheduled,True
real_test_input_720p_30s::light,medium-to-high-motion,4.113,1.846,1.719,2.39,+6.9,adaptive-scheduled,True
