input_file,workload_class,content_class,serial_runtime_mean,static_equal_runtime_mean,winner_baseline,winner_runtime_mean,parallel_beneficial,selector_execution_runtime_mean,selector_selected_regime,selector_selected_label,selector_selected_policy,selector_selected_workers,selector_selected_chunks,selector_prediction_error_mean,selector_vs_static_margin,selector_vs_serial_speedup,selector_good_decision,selector_psnr_mean,selector_input_psnr_mean
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,heavy,static-low-motion,39.150961,13.822894,adaptive-scheduled,10.167569,True,10.167569,parallel,"adaptive-searched,static-equal",equal-duration,8,8,0.029428,0.26444,3.850572,True,37.8287,36.3516
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,light,static-low-motion,6.796279,2.815927,adaptive-scheduled,2.81009,True,2.81009,parallel,static-equal,equal-duration,8,8,0.265679,0.002073,2.418527,True,37.7685,36.2969
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,medium,static-low-motion,21.926465,7.448638,adaptive-scheduled,6.04599,True,6.04599,parallel,adaptive-searched,equal-duration,8,8,0.036494,0.188309,3.626613,True,37.1196,32.1149
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,heavy,static-low-motion,7.445223,2.798891,static-equal,2.798891,True,2.81726,parallel,"adaptive-searched,static-equal",equal-duration,4,4,0.018277,-0.006563,2.642718,True,31.7534,31.492
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,light,static-low-motion,1.611427,0.81817,static-equal,0.81817,True,0.819403,parallel,static-equal,equal-duration,4,4,0.04646,-0.001507,1.966587,True,31.8923,31.4989
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,medium,static-low-motion,4.307835,1.895773,adaptive-scheduled,1.808977,True,1.808977,parallel,static-equal,equal-duration,4,4,0.053404,0.045784,2.381365,True,29.2039,28.909
experiments/benchmark_suite/inputs/real_clipchamp_720p_3s.mp4,light,static-low-motion,0.592865,0.468978,static-equal,0.468978,True,0.592865,serial,serial,serial,1,1,0.0,-0.264164,1.0,False,,41.0198
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,heavy,scene-cut-heavy,13.103275,5.202989,adaptive-scheduled,5.159086,True,5.159086,parallel,static-equal,equal-duration,4,4,0.027488,0.008438,2.539844,True,49.118,44.2037
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,light,scene-cut-heavy,2.570319,1.365245,adaptive-scheduled,1.349804,True,1.349804,parallel,static-equal,equal-duration,4,4,0.146767,0.01131,1.904216,True,48.0597,43.2413
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,medium,scene-cut-heavy,7.680256,3.189212,adaptive-scheduled,3.15057,True,3.15057,parallel,static-equal,equal-duration,4,4,0.038393,0.012116,2.437735,True,46.1591,37.3146
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,heavy,medium-to-high-motion,19.089991,6.350819,adaptive-scheduled,4.81299,True,4.81299,parallel,"adaptive-searched,static-equal",equal-duration,8,8,0.04172,0.242147,3.966348,True,29.0873,27.8023
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,light,medium-to-high-motion,4.113122,1.846258,adaptive-scheduled,1.718662,True,1.718662,parallel,static-equal,equal-duration,8,8,0.20202,0.069111,2.393212,True,27.462,27.3955
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,medium,medium-to-high-motion,11.247415,4.047878,adaptive-scheduled,3.19661,True,3.19661,parallel,static-equal,equal-duration,8,8,0.028173,0.2103,3.518545,True,23.5189,24.6931
