input_file,workload_class,pipeline_label,budget_label,max_workers,selected_regime,selected_workers,selected_chunks,selected_policy,predicted_e2e_time,measured_serial_time,predicted_speedup,predicted_efficiency
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,light,inference-normalization,w<=2,2,parallel,2,2,equal-duration,2.322184,3.542447,1.5255,0.7627
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,light,inference-normalization,w<=4,4,parallel,4,4,equal-duration,1.544856,3.542447,2.2931,0.5733
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,light,inference-normalization,w<=8,8,parallel,8,8,equal-duration,1.252195,3.542447,2.829,0.3536
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,light,inference-normalization,unconstrained,,parallel,8,8,equal-duration,1.252195,3.542447,2.829,0.3536
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,medium,vision-enhancement,w<=2,2,parallel,2,2,equal-duration,4.516691,7.169732,1.5874,0.7937
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,medium,vision-enhancement,w<=4,4,parallel,4,4,equal-duration,2.877883,7.169732,2.4913,0.6228
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,medium,vision-enhancement,w<=8,8,parallel,8,8,equal-duration,2.154483,7.169732,3.3278,0.416
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,medium,vision-enhancement,unconstrained,,parallel,8,8,equal-duration,2.154483,7.169732,3.3278,0.416
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,heavy,robust-preprocessing,w<=2,2,parallel,2,2,equal-duration,10.593633,17.214263,1.625,0.8125
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,heavy,robust-preprocessing,w<=4,4,parallel,4,4,equal-duration,6.569248,17.214263,2.6204,0.6551
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,heavy,robust-preprocessing,w<=8,8,parallel,8,8,equal-duration,4.65306,17.214263,3.6996,0.4624
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,heavy,robust-preprocessing,unconstrained,,parallel,8,8,equal-duration,4.65306,17.214263,3.6996,0.4624
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,light,inference-normalization,w<=2,2,parallel,2,2,equal-duration,1.194443,1.804185,1.5105,0.7552
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,light,inference-normalization,w<=4,4,parallel,4,4,equal-duration,0.849998,1.804185,2.1226,0.5306
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,light,inference-normalization,w<=8,8,parallel,4,4,equal-duration,0.849998,1.804185,2.1226,0.5306
