input_file,workload_class,trial,content_class,duration_label,selected_regime,selected_label,adaptive_runtime,best_default_baseline,best_default_runtime,selector_vs_default_margin,adaptive_beneficial,T_metadata,T_features,T_scheduler,T_decide,T_execute,rho
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,heavy,1,static-low-motion,30s,parallel,adaptive-searched,9.740407,static-equal,9.676237,-0.006632,False,0.072319,0.657578,0.000832,0.730729,9.740407,0.07502
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,heavy,2,static-low-motion,30s,parallel,static-equal,9.957087,static-equal,9.773691,-0.018764,False,0.071399,0.668966,0.004311,0.744677,9.957087,0.074789
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,heavy,3,static-low-motion,30s,parallel,adaptive-searched,9.998148,static-equal,10.036665,0.003838,True,0.077003,0.695714,0.000869,0.773585,9.998148,0.077373
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,light,1,static-low-motion,30s,parallel,static-equal,2.887735,static-equal,2.460567,-0.173606,False,0.080466,0.695934,0.004857,0.781258,2.887735,0.270543
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,light,2,static-low-motion,30s,parallel,static-equal,2.806261,static-equal,2.336103,-0.201257,False,0.073343,0.670844,0.004376,0.748563,2.806261,0.266748
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,light,3,static-low-motion,30s,parallel,adaptive-searched,2.743344,static-equal,2.336794,-0.173978,False,0.071586,0.657455,0.006724,0.735765,2.743344,0.2682
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,medium,1,static-low-motion,30s,parallel,static-equal,5.904354,static-equal,5.249295,-0.12479,False,0.070671,0.653022,0.004087,0.727779,5.904354,0.123261
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,medium,2,static-low-motion,30s,parallel,static-equal,5.719255,static-equal,5.333859,-0.072255,False,0.073334,0.662106,0.000827,0.736267,5.719255,0.128735
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,medium,3,static-low-motion,30s,parallel,static-equal,5.668117,static-equal,5.256945,-0.078215,False,0.073665,0.658633,0.004219,0.736516,5.668117,0.12994
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,heavy,1,static-low-motion,12s,parallel,adaptive-searched,2.770383,static-equal,2.821551,0.018135,True,0.06626,0.281225,0.002187,0.349672,2.770383,0.126218
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,heavy,2,static-low-motion,12s,parallel,adaptive-searched,3.05456,static-equal,3.280199,0.068788,True,0.070373,0.302678,0.000478,0.37353,3.05456,0.122286
