input_file,workload_class,content_class,serial_runtime_mean,static_equal_runtime_mean,winner_baseline,winner_runtime_mean,parallel_beneficial,selector_execution_runtime_mean,selector_selected_regime,selector_selected_label,selector_selected_policy,selector_selected_workers,selector_selected_chunks,selector_prediction_error_mean,selector_decision_time_mean,selector_decision_rho_mean,selector_vs_static_margin,selector_vs_serial_speedup,selector_good_decision,selector_psnr_mean,selector_input_psnr_mean
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,heavy,static-low-motion,17.214263,9.828865,static-equal,9.828865,True,9.898548,parallel,"adaptive-searched,static-equal",equal-duration,8,8,0.529878,0.749664,0.075727,-0.00709,1.73907,True,37.8245,36.3374
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,light,static-low-motion,3.542447,2.377821,static-equal,2.377821,True,2.812447,parallel,"adaptive-searched,static-equal",equal-duration,8,8,0.554683,0.755195,0.268497,-0.182783,1.25956,False,37.7694,36.3215
experiments/benchmark_suite/inputs/real_clipchamp_1080p_30s.mp4,medium,static-low-motion,7.169732,5.280033,static-equal,5.280033,True,5.763909,parallel,static-equal,equal-duration,8,8,0.626033,0.733521,0.127312,-0.091643,1.243901,False,37.0722,32.1401
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,heavy,static-low-motion,4.300579,2.976221,adaptive-scheduled,2.874717,True,2.874717,parallel,adaptive-searched,equal-duration,4,4,0.393669,0.358542,0.124802,0.034105,1.496001,True,31.7673,31.5099
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,light,static-low-motion,1.804185,1.251221,static-equal,1.251221,True,1.433101,parallel,"adaptive-searched,static-equal",equal-duration,4,4,0.404679,0.37888,0.267706,-0.145362,1.258938,True,31.9124,31.5335
experiments/benchmark_suite/inputs/real_clipchamp_720p_12s.mp4,medium,static-low-motion,2.322981,1.830239,static-equal,1.830239,True,1.903548,parallel,"adaptive-searched,static-equal",equal-duration,4,4,0.45615,0.359583,0.189093,-0.040054,1.220343,True,29.2177,28.934
experiments/benchmark_suite/inputs/real_clipchamp_720p_3s.mp4,light,static-low-motion,0.808425,0.962293,adaptive-scheduled,0.808425,True,0.808425,serial,serial,serial,1,1,0.0,0.281681,0.348421,0.159897,1.0,True,,41.1879
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,heavy,scene-cut-heavy,5.992232,4.324691,static-equal,4.324691,True,4.406123,parallel,"adaptive-searched,static-equal",equal-duration,4,4,0.453025,0.489165,0.110999,-0.01883,1.359978,True,49.7681,44.4552
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,light,scene-cut-heavy,1.441762,1.554153,serial,1.441762,False,1.572773,parallel,static-equal,equal-duration,4,4,0.531516,0.478998,0.304571,-0.011981,0.916701,False,49.4588,43.7091
experiments/benchmark_suite/inputs/real_phone_1080p_12s.mp4,medium,scene-cut-heavy,2.639446,2.624523,static-equal,2.624523,True,2.633467,parallel,static-equal,equal-duration,4,4,0.553032,0.480401,0.182431,-0.003408,1.00227,True,47.1126,37.4133
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,heavy,medium-to-high-motion,9.781454,5.559473,static-equal,5.559473,True,5.733508,parallel,adaptive-searched,equal-duration,8,8,0.520386,0.561657,0.097963,-0.031304,1.706016,True,29.1544,27.8193
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,light,medium-to-high-motion,2.49552,1.794406,static-equal,1.794406,True,2.140437,parallel,static-equal,equal-duration,8,8,0.542809,0.557532,0.260571,-0.192839,1.165893,False,27.6038,27.4454
experiments/benchmark_suite/inputs/real_test_input_720p_30s.mp4,medium,medium-to-high-motion,4.36487,3.252048,static-equal,3.252048,True,3.623935,parallel,static-equal,equal-duration,8,8,0.604694,0.55452,0.153041,-0.114355,1.204456,False,23.6832,24.7914
